"incorrect sentence";"correct sentence";"topic"
"I think you could work with being more polite.";"I think you could work on being more polite.";"Prepositions"
"That happened to me with the girl that I lived.";"That happened to me with the girl that I lived with.";"Prepositions"
"I don’t know how to react about that.";"I don’t know how to react to that.";"Prepositions"
"This is not a problem to her.";"This is not a problem for her.";"Prepositions"
"I’m really attached with my mom.";"I’m really attached to my mom.";"Prepositions"
"People have to start working in an early age.";"People have to start working at an early age.";"Prepositions"
"I don’t have too much to complain.";"I don’t have too much to complain about.";"Prepositions"
"You have a view from the whole city.";"You have a view of the whole city.";"Prepositions"
"He’s taking advantage to other people.";"He’s taking advantage of other people.";"Prepositions"
"It can have a huge impact from your personality.";"It can have a huge impact on your personality.";"Prepositions"
"She recommended me for her boss.";"She recommended me to her boss.";"Prepositions"
"She offered to me to be my sponsor.";"She offered to be my sponsor.";"Prepositions"
"You have to put it in practice.";"You have to put it into practice.";"Prepositions"
"A lot of good things happen with some people.";"A lot of good things happen to some people.";"Prepositions"
"I’m wasting my time waiting you.";"I’m wasting my time waiting for you.";"Prepositions"
"He’s allergic from dogs.";"He’s allergic to dogs.";"Prepositions"
"I really enjoy listening and dancing salsa music.";"I really enjoy listening and dancing to salsa music.";"Prepositions"
"The far-right extremists attacked to a summer camp.";"The far-right extremists attacked a summer camp.";"Prepositions"
"They focus in one family.";"They focus on one family.";"Prepositions"
"It’s about the first women who worked in NASA.";"It’s about the first women who worked at/for NASA.";"Prepositions"
"They have an impact from the environment.";"They have an impact on the environment.";"Prepositions"
"It was my first time working like a leader.";"It was my first time working as a leader.";"Prepositions"
"In all the other airports I’ve been, you can connect to the internet.";"In all the other airports I’ve been to, you can connect to the internet.";"Prepositions"
"It’s not a city that people enjoy living.";"It’s not a city that people enjoy living in.";"Prepositions"
"She gave money for a friend.";"She gave money to a friend.";"Prepositions"
"He didn’t spend a lot of money like her.";"He didn’t spend as much money as her.";"Prepositions"
"She dreamt with diamonds and a series of numbers.";"She dreamt about/of diamonds and a series of numbers.";"Prepositions"
"She spent a lot of money with stupid things.";"She spent a lot of money on stupid things.";"Prepositions"
"Many people from the world try to imitate his dancing.";"Many people around the world try to imitate his dancing.";"Prepositions"
"There’s a wall behind of him.";"There’s a wall behind him.";"Prepositions"
"Monkeys are very similar than human beings.";"Monkeys are very similar to human beings.";"Prepositions"
"I went to Argentina in my honeymoon.";"I went to Argentina on/for my honeymoon.";"Prepositions"
"My father is good fixing things.";"My father is good at fixing things.";"Prepositions"
"It’s difficult when you put your money on risk.";"It’s difficult when you put your money at risk.";"Prepositions"
"If you live in the outskirts, you can survive.";"If you live on the outskirts, you can survive.";"Prepositions"
"I’m really proud about the work that I did.";"I’m really proud of the work that I did.";"Prepositions"
"Brazil didn’t take part of the Second World War.";"Brazil didn’t take part in the Second World War.";"Prepositions"
"I’ve heard about it, but I don’t know what it is.";"I’ve heard of it, but I don’t know what it is.";"Prepositions"
"In the next day we went to a waterfall.";"(On) the next day we went to a waterfall.";"Prepositions"
