"incorrect sentence";"correct sentence";"topic"
"After cook, what do you do?";"After cooking, what do you do?";"Gerunds"
"Sharing the bathroom is harder than share the kitchen.";"Sharing the bathroom is harder than sharing the kitchen.";"Gerunds"
"She checked her pulse before start the cardiac massage.";"She checked her pulse before starting the cardiac massage.";"Gerunds"
"I have difficulty to say no.";"I have difficulty saying no.";"Gerunds"
"Some people enjoy to learn languages.";"Some people enjoy learning languages.";"Gerunds"
"I’d like to have a go at fly in a balloon.";"I’d like to have a go at flying in a balloon.";"Gerunds"
"Studying English wasn’t that important to me when I was younger, but it ended up that it’s a priority later in life.";"Studying English wasn’t that important to me when I was younger, but it ended up being a priority later in life.";"Gerunds"
"You shouldn’t look at screens before go to bed.";"You shouldn’t look at screens before going to bed.";"Gerunds"
"She started to swimming. ";"She started swimming / to swim. ";"Gerunds"
"She went to Peru without let her parents know.";"She went to Peru without letting her parents know.";"Gerunds"
"I watched for eight hours without sleep. ";"I watched for eight hours without sleeping. ";"Gerunds"
"I’m afraid of forget my wallet.";"I’m afraid of forgetting / to forget my wallet.";"Gerunds"
"I like the iPhone because I’m used to use it.";"I like the iPhone because I’m used to using it.";"Gerunds"
"Before to come to Ireland, my phone was broken.";"Before coming to Ireland, my phone was broken.";"Gerunds"
"It’s not a city that people enjoy to live in.";"It’s not a city that people enjoy living in.";"Gerunds"
"I don’t remember to clean my room when I was a child.";"I don’t remember cleaning my room when I was a child.";"Gerunds"
"Complain doesn’t help you sove your problems.";"Complaining doesn’t help you sove your problems.";"Gerunds"
"She gave up to work.";"She gave up working.";"Gerunds"
"If you’re enjoying do this, it’s a hobby.";"If you’re enjoying doing this, it’s a hobby.";"Gerunds"
"My hobby is play video games.";"My hobby is playing video games.";"Gerunds"
"I’m thinking about go to Spain.";"I’m thinking about going to Spain.";"Gerunds"
"I’m afraid of spend too much money.";"I’m afraid of spending too much money.";"Gerunds"
"I was thinking about went to Australia.";"I was thinking about going to Australia.";"Gerunds"
"I prefer play team sports.";"I prefer playing / to play team sports.";"Gerunds"
"I was thinking about we go to the cinema.";"I was thinking about going to the cinema.";"Gerunds"
